Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
2017/07/19 9:08:09 PM GMT-3;41;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;41, 99, 100;16
2017/07/19 9:08:10 PM GMT-3;101;S;M;Escola de Artes, Ciências e Humanidades (EACH);Mestrado em Sistemas de Informação;Pós-graduação;1;Negócios e Desenvolvedor;Sim;10, 29, 65, 101;2
2017/07/19 9:09:29 PM GMT-3;78;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Desenvolvedor;Sim;31, 44, 78, 120;13
2017/07/19 9:09:33 PM GMT-3;107;S;F;Escola Politécnica (Poli);Engenharia de Computação;1° ano;1;Desenvolvedor;Sim;14, 86, 105, 107;6
2017/07/19 9:09:34 PM GMT-3;93;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Não;;0
2017/07/19 9:10:39 PM GMT-3;103;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Não;;0
2017/07/19 9:10:42 PM GMT-3;44;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Desenvolvedor;Sim;31, 44, 78, 120;13
2017/07/19 9:10:54 PM GMT-3;38;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;37, 38, 69, 121;15
2017/07/19 9:11:39 PM GMT-3;14;S;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;1;Desenvolvedor;Sim;14, 86, 105, 107;6
2017/07/19 9:11:45 PM GMT-3;79;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;2;Desenvolvedor;Sim;17, 35, 79, 81;9
2017/07/19 9:12:16 PM GMT-3;77;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da computação;3° ano;1;Desenvolvedor;Sim;49, 77, 98;20
2017/07/19 9:12:19 PM GMT-3;70;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciências da Computação;2° ano;1;Desenvolvedor;Sim;8, 23, 70, 116;22
2017/07/19 9:13:08 PM GMT-3;1;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;1;Desenvolvedor;Sim;1, 54, 55, 58;1
2017/07/19 9:14:21 PM GMT-3;37;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;37, 38, 69, 121;15
2017/07/19 9:14:55 PM GMT-3;67;S;M;Instituto de Matemática e Estatística (IME);Mestrado em Ciência da Computação;Pós-graduação;2;Desenvolvedor;Sim;16, 45, 67;8
2017/07/19 9:14:59 PM GMT-3;91;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática;1° ano;1;Desenvolvedor;Não;;0
2017/07/19 9:16:29 PM GMT-3;110;N;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;1;Desenvolvedor;Sim;21, 110;10
2017/07/19 9:18:00 PM GMT-3;4;S;F; Faculdade de Zootecnia e Engenharia de Alimentos (FZEA);Engenharia de Biossistemas ;5° ano ou mais;1;Negócios;Não;;0
2017/07/19 9:19:52 PM GMT-3;66;N;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;1;Desenvolvedor;Não;;0
2017/07/19 9:20:23 PM GMT-3;63;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5° ano ou mais;1;Desenvolvedor;Não;12, 27, 63, 76;4
2017/07/19 9:20:33 PM GMT-3;3;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática;1° ano;1;Nenhuma;Não;;0
2017/07/19 9:20:41 PM GMT-3;8;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;8, 23, 70, 116;22
2017/07/19 9:21:07 PM GMT-3;42;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Negócios;Não;;0
2017/07/19 9:21:12 PM GMT-3;49;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;49, 77, 98;20
2017/07/19 9:22:22 PM GMT-3;98;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;49, 77, 98;20
